video_id,video_title,upload_date,view_count,like_count
4pIFaFYyXzs,Superliga. Mash’al - Andijon 0:1. Highlights,2021-09-09,6661,137
5f61He0cqko,O&#39;zbek futbolidagi eng quvonchli lahzalar 1-qism,2021-09-09,20634,498
J7H-Esr6R4s,Eldor Ronaldudan o&#39;tib ketdi Match TV,2021-09-08,16721,410
I7SVyMzVHLU,Shvetsiya - O&#39;zbekiston. Siz ko&#39;rmagan eksklyuziv lavhalar,2021-09-07,31813,640
InbnFImX7ro,O&#39;zbek futbolida yana umid paydo bo&#39;ldi,2021-09-06,32293,813
ddZGjpczA3U,Statistika O&#39;zbekiston Shvetsiya bilan qanday o&#39;ynadi,2021-09-06,22588,535
m1YkUbM3L6E,Srechko Katanec after the friendly match Sweden - Uzbekistan,2021-09-05,9932,273
kFCzmt1E4H0,&quot;Tezkor studiya&quot;. Shvetsiya - O&#39;zbekiston 2:1. O&#39;yin haqida,2021-09-05,32639,655
PUjrDwKt1Qs,&quot;Tezkor studiya&quot;. Shvetsiya - O&#39;zbekiston. O&#39;yindan oldingi JONLI EFIR,2021-09-05,12080,376
ySs2EC7EbNE,&quot;Ota&quot; loyihasi. Temurxo‘ja Abduxoliqovning dadasi Zoir aka bilan suhbat,2021-09-05,2236,67
FfageNTNFEU,O&#39;zbekiston MTJ &quot;Friends Arena&quot;da rasmiy mashg&#39;ulot o&#39;tkazdi,2021-09-04,16314,597
mz50q2QlpRk,"⚡️Intervyu. Jaloliddin Masharipov-&quot;Paxtakor&quot; rahbariyati, terma jamoa yangi sardori va o&#39;g&#39;li haqida",2021-09-04,32701,975
KXsipQyAouE,🔥🔥🔥 Intervyu. Eldor Shomurodov: &quot;Eng yomon ko&#39;rganim murabbiylarni solishtirish&quot;,2021-09-04,21514,675
rK_rYI-BHrE,O&#39;zbekiston MTJ. Shvetsiyada mashg&#39;ulotlar davom etmoqda + Katanets bilan suhbat,2021-09-04,26930,888
x-hrtZy1dQI,Shvetsiyadan eksklyuziv reportaj. O&#39;zbekiston MTJ mashg&#39;uloti qanday o&#39;tdi?,2021-09-03,17743,571
